         OtsuT  KittlerT    LloydT     SungT   RidlerT    HuangT   RameshT      Li1T      Li2T    BrinkT    KapurT    SahooT  ShanbhagT      YenT     TsaiT
145   0.590196  0.633333  0.548554  0.625490  0.591526  0.594118  0.405882  0.579925  0.582353  0.566667  0.645098  0.645098   0.378431  0.645098  0.660784
146   0.543137  0.586275  0.500274  0.582353  0.543250  0.543137  0.374510  0.532129  0.535294  0.543137  0.609804  0.609639   0.331373  0.609804  0.617647
147   0.500000  0.543137  0.454418  0.539216  0.501625  0.507843  0.343137  0.489131  0.492157  0.515686  0.566667  0.566502   0.292157  0.566667  0.578431
148   0.460784  0.503922  0.415676  0.500000  0.464512  0.468627  0.394118  0.448059  0.452941  0.488235  0.527451  0.527287   0.249020  0.527451  0.539216
149   0.398039  0.429412  0.347312  0.429412  0.397376  0.390196  0.362745  0.379483  0.386275  0.437255  0.456863  0.456698   0.209804  0.456863  0.476471
150   0.366667  0.394118  0.316547  0.398039  0.367963  0.503922  0.343137  0.349229  0.358824  0.417647  0.425490  0.425490   0.205882  0.425490  0.449020
151   0.339216  0.362745  0.289571  0.370588  0.341022  0.339216  0.715686  0.322596  0.331373  0.398039  0.398039  0.398039   0.198039  0.398039  0.417647
152   0.315686  0.335294  0.265609  0.343137  0.317190  0.437255  0.707843  0.297378  0.307843  0.378431  0.370588  0.370588   0.386275  0.370588  0.390196
153   0.296078  0.307843  0.245777  0.319608  0.296858  0.276471  0.684314  0.275162  0.288235  0.366667  0.347059  0.347059   0.170588  0.347059  0.370588
154   0.276471  0.284314  0.225371  0.300000  0.276824  0.268627  0.672549  0.255098  0.264706  0.362745  0.327451  0.327100   0.339216  0.319608  0.347059
155   0.256863  0.260784  0.206686  0.276471  0.257626  0.366667  0.656863  0.235850  0.249020  0.362745  0.303922  0.303922   0.315686  0.303922  0.327451
156   0.237255  0.241176  0.190482  0.256863  0.239191  0.229412  0.641176  0.219234  0.229412  0.362745  0.284314  0.284314   0.135294  0.284314  0.307843
157   0.221569  0.221569  0.175382  0.241176  0.226117  0.201961  0.660784  0.203135  0.217647  0.362745  0.264706  0.264706   0.123529  0.264706  0.292157
158   0.429412  0.460784  0.379392  0.464706  0.428850  0.425490  0.382353  0.412001  0.417647  0.460784  0.492157  0.491992   0.229412  0.492157  0.507843
159   0.209804  0.201961  0.159391  0.225490  0.209064  0.303922  0.660784  0.188946  0.201961  0.362745  0.245098  0.245098   0.115686  0.245098  0.272549
160   0.649020  0.664706  0.618243  0.664706  0.720242  0.739216  0.445098  0.719977  0.645098  0.523529  0.688235  0.688235   0.574510  0.688235  0.700000
161   0.594118  0.613725  0.563074  0.617647  0.670041  0.696078  0.378431  0.669640  0.590196  0.476471  0.629412  0.629412   0.511765  0.629412  0.649020
162   0.547059  0.562745  0.512859  0.566667  0.627376  0.652941  0.323529  0.629577  0.543137  0.527451  0.586275  0.586275   0.464706  0.586275  0.605882
163   0.507843  0.515686  0.466540  0.523529  0.594441  0.609804  0.307843  0.592024  0.500000  0.500000  0.547059  0.547059   0.429412  0.547059  0.562745
164   0.464706  0.472549  0.427156  0.484314  0.552823  0.578431  0.405882  0.552168  0.460784  0.472549  0.507843  0.507672   0.390196  0.507843  0.523529
165   0.398039  0.401961  0.355480  0.413725  0.485488  0.503922  0.362745  0.484669  0.390196  0.417647  0.437255  0.437084   0.339216  0.437255  0.456863
166   0.366667  0.366667  0.324753  0.382353  0.454875  0.476471  0.339216  0.453998  0.362745  0.398039  0.405882  0.405882   0.331373  0.405882  0.425490
167   0.339216  0.339216  0.297569  0.433333  0.430782  0.452941  0.315686  0.429905  0.335294  0.378431  0.378431  0.378431   0.296078  0.378431  0.398039
168   0.315686  0.307843  0.269539  0.398039  0.399226  0.421569  0.500000  0.398188  0.307843  0.366667  0.350980  0.354713   0.288235  0.354902  0.370588
169   0.292157  0.284314  0.246627  0.382353  0.379453  0.401961  0.476471  0.378498  0.284314  0.362745  0.323529  0.327262   0.260784  0.327451  0.347059
170   0.268627  0.260784  0.226333  0.358824  0.355915  0.374510  0.452941  0.354920  0.264706  0.362745  0.303922  0.303740   0.252941  0.303922  0.323529
171   0.249020  0.237255  0.206302  0.339216  0.335661  0.350980  0.429412  0.332640  0.245098  0.366667  0.284314  0.284132   0.237255  0.284314  0.303922
172   0.233333  0.217647  0.190217  0.315686  0.313524  0.331373  0.409804  0.312463  0.229412  0.366667  0.264706  0.264524   0.272549  0.264706  0.284314
173   0.217647  0.198039  0.173457  0.300000  0.298032  0.303922  0.390196  0.293086  0.209804  0.362745  0.245098  0.245098   0.252941  0.245098  0.264706
174   0.429412  0.437255  0.387727  0.449020  0.520393  0.543137  0.382353  0.519707  0.425490  0.445098  0.472549  0.472378   0.366667  0.472549  0.492157
175   0.201961  0.178431  0.157847  0.280392  0.277270  0.292157  0.370588  0.274212  0.194118  0.347059  0.225490  0.225490   0.209804  0.225490  0.245098
176   0.762745  0.805882  0.568547  0.805882  0.764477  0.856863  0.566667  0.747545  0.750980  0.641176  0.688235  0.688235   0.558824  0.688235  0.747059
